Genomic Location*	no. tags	Probe IDs 	UCSC_RefGene_Name	STIC vs.          Adj. norm. FTE AUC          	HGSC vs. Healthy FTM AUC	HGSC & STIC vs. Healthy FTM & Adj. norm FTE       AUC					
chr5:140797092-140797196	3	"cg03510378,cg13933262,cg14378860"	"PCDHGB7,PCDHGA1,PCDHGA10,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGA9,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4,PCDHGB5,PCDHGB6"	0.778	0.847	0.794					
chr14:102026086-102026953	13	"cg16366843,cg13126530,cg02609127,cg07193553,cg23354716,cg01044961,cg16781205,cg21174533,cg03721993,cg00328051,cg22325330,cg10590512,cg01693026"	"DIO3,MIR1247"	1	0.909	0.928					
chr11:86085694-86085715	2	"cg18282849,cg10395685"	CCDC81	0.833	0.862	0.816					
chr13:100624130-100624373	2	"cg12907379,cg23476830"	ZIC5	0.792	0.927	0.86					
chr6:31782961-31783196	6	"cg09085842,cg15185479,cg18846140,cg22715094,cg01639032,cg11353380"	"HSPA1A,HSPA1L"	0.486	0.745	0.651					
chr1:174968334-174968388	3	"cg13673319,cg01730534,cg13384453"	CACYBP	0.75	0.873	0.834					
chr7:27213966-27214201	2	"cg01397139,cg14649140"	HOXA10	0.701	0.847	0.79					
chr2:43019997-43020169	4	"cg26360792,cg27299406,cg09480054,cg01561916"	HAAO	0.604	0.804	0.745					
chr12:25055967-25056127	5	"cg20399616,cg23424146,cg10072115,cg23930313,cg08598454"	BCAT1	0.701	0.665	0.689					
chr6:73330106-73330297	4	"cg15120732,cg05350268,cg04290119,cg03922126"	KCNQ5	0.521	0.753	0.613					
chr5:75377968-75378102	2	"cg25025437,cg24794347"	SV2C	0.694	0.927	0.858					
chr5:140787504-140787507	2	"cg18617005,cg18507379"	"PCDHGB6,PCDHGA1,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGA9,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4,PCDHGB5"	0.875	0.793	0.813					
chr3:147124417-147124543	3	"cg21127068,cg06369327,cg05548555"	ZIC4	0.785	0.902	0.858					
chr2:216300268-216300292	2	"cg10692870,cg21314106"	FN1	0.542	0.793	0.699					
chr11:116706372-116706520	2	"cg13090478,cg10753889"	APOA1	0.847	0.92	0.881					
chr6:25652390-25652407	3	"cg04200224,cg10721149,cg13834623"	SCGN	0.688	0.811	0.751					
chr11:76381971-76382149	2	"cg01691530,cg25717182"	LRRC32	0.764	0.909	0.845					
chr15:83953744-83953780	2	"cg18952647,cg09180848"	BNC1	0.743	0.84	0.791					
chr17:16283974-16284678	12	"cg10262404,cg06537829,cg23752691,cg14349843,cg13425712,cg05090851,cg01286555,cg24668364,cg25745651,cg07587433,cg03954587,cg10637938"	UBB	0.5	0.84	0.707					
chr7:27205381-27205504	2	"cg26365299,cg03464573"	HOXA9	0.91	0.8	0.808					
chr11:31840628-31840698	2	"cg06312283,cg07434271"	PAX6	0.701	0.811	0.776					
chr19:13135333-13135494	2	"cg26581012,cg19611364"	NFIX	0.833	0.778	0.774					
chr20:25129184-25129562	7	"cg01505767,cg04299389,cg22273939,cg18009321,cg05908371,cg16265348,cg08941457"	LOC284798	0.472	0.862	0.756					
chr11:131780492-131780894	5	"cg15617814,cg11473001,cg06931179,cg26918812,cg17683427"	NTM	0.785	0.76	0.761					
chr11:31827899-31827998	2	"cg13596833,cg04504066"	PAX6	0.556	0.771	0.71					
chr5:140529580-140529627	2	"cg09178190,cg15038110"	PCDHB6	0.715	0.764	0.705					
chr6:31783272-31783545	12	"cg21122656,cg26616261,cg02704535,cg19677203,cg22847691,cg00929855,cg15174834,cg12883479,cg10598353,cg13413286,cg17494781,cg18466674"	"HSPA1A,HSPA1L"	0.667	0.745	0.731					
chr12:39299326-39299844	8	"cg13603508,cg01963134,cg07300451,cg26510017,cg11824397,cg13509195,cg21784036,cg24182470"	CPNE8	0.688	0.829	0.798					
chr2:198650987-198651111	3	"cg13356896,cg07495363,cg17565627"	BOLL	0.535	0.724	0.709					
chr10:133110244-133110646	3	"cg23632875,cg03109827,cg03943081"	TCERG1L	0.715	0.68	0.678					
chr4:90757398-90757533	2	"cg20003494,cg26578617"	SNCA	0.562	0.778	0.682					
chr5:10308246-10308250	2	"cg16575104,cg10178203"	CMBL	0.5	0.782	0.702					
chr2:223163677-223163679	2	"cg18352427,cg20372045"	"PAX3,CCDC140"	0.743	0.68	0.699					
chr7:27282005-27282233	2	"cg10188985,cg11640378"	"EVX1,EVX1-AS"	0.715	0.807	0.75					
chr9:36258661-36258825	2	"cg21042356,cg14447369"	GNE	0.882	0.949	0.918					
chr10:43892790-43893073	9	"cg04424930,cg17824240,cg04990571,cg27641141,cg02169113,cg19029378,cg09936190,cg05525499,cg16042558"	HNRNPF	0.694	0.825	0.749					
chr5:140248390-140248424	2	"cg12091708,cg26023680"	"PCDHA11,PCDHA1,PCDHA10,PCDHA6,PCDHA2,PCDHA3,PCDHA4,PCDHA5,PCDHA7,PCDHA8,PCDHA9"	0.674	0.735	0.73					
chr15:53083518-53083532	2	"cg20056542,cg13877670"	ONECUT1	0.812	0.749	0.773					
chr5:140588221-140588231	3	"cg17047981,cg05827573,cg12343638"	PCDHB12	0.958	0.673	0.723					
chr2:154728202-154728210	2	"cg26983710,cg07547000"	GALNT13	0.778	0.731	0.734					
chr10:102899949-102900262	2	"cg02167020,cg16130857"	BORCS7-ASMT	0.792	0.745	0.756					
chr1:235814188-235814201	2	"cg02023150,cg21895505"	"GNG4,MIR5096"	0.507	0.76	0.653					
chr18:76740101-76740258	2	"cg07382554,cg14007067"	SALL3	0.59	0.622	0.622					
chr8:144650730-144651002	3	"cg05191879,cg13671044,cg19951303"	"MROH6,C8orf73"	0.674	0.789	0.764					
chr15:45421578-45421749	3	"cg06904403,cg13605988,cg17438432"	"DUOX1,DUOXA1"	0.5	0.815	0.726					
chr10:23982350-23982480	3	"cg06251764,cg18633693,cg04063945"	KIAA1217	0.465	0.756	0.667					
chr12:95942907-95942964	2	"cg13879483,cg07783282"	USP44	0.611	0.753	0.694					
chr1:165326069-165326082	2	"cg02885925,cg26436962"	LMX1A	0.66	0.782	0.752					
chr2:176993643-176993841	2	"cg20732478,cg21815667"	HOXD8	0.688	0.844	0.781					
chr20:25566470-25566563	2	"cg03522245,cg16686733"	NINL	0.576	0.724	0.637					
chr1:206223241-206224027	7	"cg18992688,cg17587023,cg00761787,cg26795730,cg16368479,cg17940251,cg04633513"	AVPR1B	0.611	0.775	0.72					
chr3:160167746-160167789	4	"cg26856080,cg26433838,cg02723904,cg12479674"	TRIM59	0.799	0.811	0.798					
chr19:51170816-51171061	2	"cg08447324,cg16658931"	SHANK1	0.826	0.745	0.761					
chr20:21378045-21378211	2	"cg11667020,cg21200408"	NKX2-4	0.701	0.647	0.637					
chr3:187455371-187455734	4	"cg00480331,cg18562663,cg07091593,cg12942328"	BCL6	0.826	0.807	0.81					
chr4:41751886-41752452	3	"cg11046315,cg05994794,cg11777515"	PHOX2B	0.694	0.836	0.793					
chr6:27782126-27782541	3	"cg21771891,cg20478264,cg04024413"	"HIST1H2AJ,HIST1H2BM"	0.326	0.545	0.519					
chr11:2292428-2292447	2	"cg20912770,cg05309948"	ASCL2	0.625	0.465	0.545					
chr6:10426637-10426657	2	"cg26987855,cg21080336"	TFAP2A-AS2	0.306	0.695	0.588					
chr5:176559881-176560001	2	"cg08369368,cg18016826"	NSD1	0.799	0.473	0.609					
chr7:99517369-99517378	2	"cg12914047,cg13822726"	TRIM4	0.569	0.687	0.645					
chr19:58280801-58280832	2	"cg27046034,cg03584535"	ZNF586	0.653	0.705	0.709					
chr6:6004207-6004337	4	"cg13021333,cg13237002,cg24720571,cg09555118"	NRN1	0.632	0.56	0.617					
chr6:30711796-30711835	4	"cg13804182,cg16493531,cg10916998,cg16331823"	"FLOT1,IER3"	0.542	0.545	0.55					
chr3:139653545-139653573	2	"cg01755562,cg00134776"	CLSTN2	0.653	0.625	0.627					
chr8:33371996-33372188	2	"cg11755107,cg00425988"	C8orf41	0.632	0.68	0.653					
chr7:121943990-121944282	3	"cg16392213,cg24934063,cg16197925"	FEZF1	0.764	0.735	0.725					
chr9:36258587-36258600	2	"cg22766783,cg21210985"	GNE	0.681	0.644	0.637					
chr17:36103953-36104218	3	"cg05110178,cg11862993,cg09463047"	HNF1B	0.625	0.531	0.555					
