loc	n.tags	auc	probes	genes	Healthy FTM mean	Healthy FTM sd	Adj. norm. FTE mean	Adj. norm. FTE sd	P53 signature mean	P53 signature sd	STIC mean	STIC sd	HGSC mean	HGSC sd
chr19 50667559:50667804	2	0.826	"cg08447324,cg16658931"	SHANK1	0.027364512	0.010692057	0.086302995	0.009561568	0.746604836	0.093103425	0.50446913	0.05232579	0.458629333	0.000797914
chr3 187737583:187737946	4	0.826	"cg00480331,cg18562663,cg07091593,cg12942328"	BCL6	0.047197993	0.031469761	0.056429403	0.025364864	0.063686289	0.053467057	0.309949055	0.092720645	0.382755045	0.062156735
chr17 60421510:60421683	2	0.819	"cg10179315,cg06381367"	C17orf64	0.060570971	0.00014844	0.117098941	0.005154819	0.198400985	0.006620961	0.349261427	0.016855216	0.578070985	0.003120956
chr12 93572432:93572541	2	0.812	"cg10550601,cg11225410"	"SOCS2,SOCS2-AS1"	0.026773076	0.00333175	0.050024575	0.0097082	0.032094889	0.002564616	0.277492569	0.048407859	0.236674417	0.055746413
chr11 2271280:2271282	2	0.812	"cg15790820,cg06272038"	ASCL2	0.014241843	0.002885274	0.037531118	0.01470952	0.062683416	0.05807388	0.253955447	0.013480842	0.32574647	0.014438881
chr1 46302920:46303892	15	0.806	"cg19439810,cg22694153,cg24305381,cg02537149,cg07865390,cg09747578,cg04410181,cg06961071,cg03343730,cg21915639,cg00122254,cg09159144,cg09826326,cg15609728,cg10592690"	"UQCRH,LRRC41"	0.029057537	0.010511494	0.043616847	0.016007627	0.036081527	0.011334896	0.34342817	0.040743906	0.179177184	0.01613582
chr11 132943676:132943682	2	0.806	"cg09515205,cg12552289"	OPCML	0.031663685	0.00358469	0.064284393	0.034941216	0.040108698	0.028090763	0.31542626	0.035523129	0.237225665	0.049083631
chr11 131910988:131911000	2	0.806	"cg26918812,cg17683427"	NTM	0.019423774	0.007809861	0.04072976	0.021790338	0.022953849	0.008960653	0.289610659	0.087629683	0.317741548	0.056708484
chr17 37745219:37745526	6	0.778	"cg10772489,cg02335804,cg12788467,cg13230606,cg19378036,cg14487292"	HNF1B	0.183296155	0.056644693	0.057303414	0.021193994	0.05045152	0.019632768	0.311878392	0.024193499	0.516678882	0.037283645
chr2 153871394:153871412	2	0.771	"cg12398124,cg21998983"	GALNT13	0.043934814	0.00671826	0.098153651	0.028102502	0.066007837	0.036544329	0.326916577	0.005374103	0.276819961	0.018023918
chr6 26183280:26183344	2	0.771	"cg21146268,cg22942804"	HIST1H2BE	0.041984083	0.004464768	0.100691572	0.03017639	0.048063818	0.026382274	0.31549189	0.031907998	0.36778576	0.022866057
chr17 61451955:61452125	2	0.743	"cg00849610,cg26199241"		0.108561961	0.037460784	0.102711775	0.004489975	0.157990012	0.138017262	0.424345921	0.03174164	0.505767284	0.051260803
chr14 24310753:24310961	2	0.729	"cg07760773,cg07509935"	"LTB4R2,CIDEB,LTB4R"	0.134818428	0.004498062	0.058967233	0.032585269	0.109885061	0.088292323	0.304503617	0.007724712	0.524073551	0.020248922
chr12 38905914:38906042	3	0.722	"cg13509195,cg21784036,cg24182470"	CPNE8	0.020391469	0.005180751	0.05795513	0.00916411	0.0341365	0.003758456	0.375293396	0.026557579	0.435974703	0.005137746
chr3 195896467:195896476	2	0.708	"cg00651401,cg21642245"	TNK2	0.051956409	0.010315661	0.083290513	0.024250942	0.097609862	0.001185063	0.30710146	0.046511268	0.341007364	0.049912633
chr12 24903146:24903193	3	0.694	"cg10072115,cg23930313,cg08598454"	BCAT1	0.042562598	0.011168396	0.053200811	0.01201024	0.023369658	0.00529451	0.262175452	0.006876504	0.305580379	0.009577513
chr8 56446145:56446162	3	0.674	"cg18331519,cg04612444,cg15064393"	"PENK,LOC101929415"	0.018237738	0.003456178	0.037763053	0.017716165	0.065988032	0.039592582	0.257141616	0.019821886	0.291327307	0.021330867
chr1 217138189:217138266	3	0.639	"cg25755575,cg22118524,cg24630419"	ESRRG	0.090867709	0.023107248	0.070333235	0.033372845	0.038180618	0.013501384	0.278693733	0.037900521	0.353419542	0.025935195
chr6 26043976:26044177	5	0.632	"cg15387132,cg07701237,cg26426142,cg02221866,cg21250296"	"HIST1H2BB,HIST1H3C"	0.047209976	0.008369249	0.08147143	0.013849116	0.067915156	0.051179897	0.310949962	0.01152227	0.486392522	0.00305908
chr17 37743962:37744227	3	0.625	"cg05110178,cg11862993,cg09463047"	HNF1B	0.1124898	0.050437638	0.054661089	0.020118473	0.040065137	0.018080502	0.296823836	0.008676368	0.374138689	0.023910165
chr2 42792857:42792873	2	0.549	"cg26360792,cg27299406"	HAAO	0.022034821	0.007452658	0.069980727	0.017132466	0.08249087	0.043387167	0.278082729	0.009391266	0.330887333	0.011003017
chr6 31815145:31815220	3	0.507	"cg13024590,cg09085842,cg15185479"	"HSPA1A,HSPA1L"	0.020754229	0.003128647	0.061753781	0.007724711	0.039273047	0.010937187	0.287780126	0.016382677	0.216904359	0.042188708
